,Product_1,Product_2,Product_3,Product_4,Product_5
15849363,21030723,52220154,66940778,48592245,8715377
15927481,54353418,2246513,15669042,6921779,19351442
15927962,9996258,11048947,10020487,9982809,9992091
15956101,13145075,57333148,52487273,19242072,21134184
15971921,19763307,9488961,10603363,56833406,7176411
15972213,62754437,68359249,51436880,51939322,3716571
1600005,975370,51571587,31602057,74623725,74141526
16014872,21921714,55320027,44633444,57750621,23789300
1602285,711112,2682881,478020,484372,10756629
16033028,23556604,16966887,10003165,32931450,17908150
16047845,4169825,16963971,4092401,8021522,33722520
16050746,41819516,59288875,26434415,17783779,11078510
1605995,68828151,41169027,708026,66930382,12108701
16069502,4679003,4374799,4597127,4315713,3519947
16079268,42126872,58667989,67911084,44349631,16106838
1609191,3209659,1610105,10785805,1907615,10777708
1610105,1907615,10791780,10777708,1609191,10785805
1610561,1610105,1907615,10777708,1609191,8141046
16106838,58667989,42126872,67911084,44349631,16079268
1610957,1534193,77925958,1530039,1534583,76273925
16135710,58962499,41167737,31980817,75583326,75580631
16138710,14518091,17473989,55873620,41446843,40547505
16147225,51235932,52780164,47101594,52780160,13943889
16161475,10001386,10001388,48313222,10001382,10001384
16208533,13862477,2086067,16314108,15514958,7117761
16217071,22153584,8715377,52220154,15849363,48592245
16217227,8141868,25062191,51668332,51668230,15432912
16221071,6817797,11715709,10113725,311969,311940
16257237,689063,359492,379462,104180,10696650
16258285,19992185,35951327,19992253,8490373,32836957
16262699,359726,24865067,66650870,14265753,13781962
16293310,51615378,15351084,51987865,16308170,25962819
16308170,15356062,15351084,16293310,51615378,51987865
16314108,42126872,66792707,7117761,13862477,2086067
16342887,59471172,58666606,12567651,69387401,16556339
16385902,588800,25732951,1044890,3953455,4252075
16398913,4796403,52433106,4794489,51996140,51996138
16420565,15597935,6649989,6703629,6885293,16420605
16420605,15597935,36618600,6703629,6885293,16420565
16457489,21401957,975370,550442,4897521,42260477
16458389,11388785,12331769,45830277,26465463,20996983
16460956,75831435,17686592,10866806,44633444,15792427
16518032,16520424,16519193,16518729,11376644,16523479
16518729,11375305,16520424,16519193,16518032,16523479
16521748,11465847,16518032,11376644,16520424,11418386
16523066,21317020,11376644,11468555,50007550,11465847
16523479,16520424,16519193,16518729,16518032,4048581
